Name,Content Type,Removed in Version,Reason,Replacement Content,Replacement Content Link
ESCU - Office Application Spawn Regsvr32 process - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Application Spawn rundll32 process - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Document Creating Schedule Task - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Loading Taskschd DLL,https://research.splunk.com/endpoint/d7297cfa-1f04-4714-bfbe-3679e0666959
ESCU - Office Document Executing Macro Code - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Loading VBE7 DLL,https://research.splunk.com/endpoint/7cfec906-2697-43f7-898b-83634a051d9a
ESCU - Office Document Spawned Child Process To Download - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Spawned Child Process For Download,https://research.splunk.com/endpoint/f02b64b8-cbea-4f75-bf77-7a05111566b1
ESCU - Office Product Spawn CMD Process - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning BITSAdmin - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning CertUtil - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning MSHTA - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning Rundll32 with no DLL - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Spawned Rundll32 With No DLL,https://research.splunk.com/endpoint/f28e787e-69ca-480e-9f98-ab970e6d4bcc
ESCU - Office Product Spawning Windows Script Host - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Spawning Wmic - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Office Product Writing cab or inf - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Dropped Cab or Inf File,https://research.splunk.com/endpoint/dbdd251e-dd45-4ec9-a555-f5e151391746
ESCU - Office Spawning Control - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Spawned Control,https://research.splunk.com/endpoint/081c485d-ac8d-4bee-ad4c-525772fead4d
ESCU - Okta Account Locked Out - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Okta Multiple Accounts Locked Out,https://research.splunk.com/application/a511426e-184f-4de6-8711-cfd2af29d1e1
ESCU - Okta Account Lockout Events - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Okta Multiple Accounts Locked Out,https://research.splunk.com/application/a511426e-184f-4de6-8711-cfd2af29d1e1
ESCU - Okta Failed SSO Attempts - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Okta Unauthorized Access to Application,https://research.splunk.com/application/5f661629-9750-4cb9-897c-1f05d6db8727
ESCU - Okta ThreatInsight Login Failure with High Unknown users - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Okta ThreatInsight Suspected PasswordSpray Attack - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Okta ThreatInsight Threat Detected,https://research.splunk.com/application/140504ae-5fe2-4d65-b2bc-a211813fbca6
ESCU - Okta Two or More Rejected Okta Pushes - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Okta Multiple Failed MFA Requests For User,https://research.splunk.com/application/826dbaae-a1e6-4c8c-b384-d16898956e73
ESCU - Open Redirect in Splunk Web - Rule,Detection,5.2.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Osquery pack - ColdRoot detection - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Password Policy Discovery with Net - Rule,Detection,5.2.0,Renamed and updated logic,Windows Password Policy Discovery with Net,https://research.splunk.com/endpoint/e52f7865-be78-46bf-b7ed-150fbe447613
ESCU - Path traversal SPL injection - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Persistent XSS in RapidDiag through User Interface Views - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Processes created by netsh - Rule,Detection,5.2.0,Updated to a new detection name,Processes launching netsh,https://research.splunk.com/endpoint/b89919ed-fe5f-492c-b139-95dbb162040e
ESCU - Prohibited Software On Endpoint - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Attacker Tools On Endpoint,https://research.splunk.com/endpoint/a51bfe1a-94f0-48cc-b4e4-16a110145893
ESCU - Reg exe used to hide files directories via registry keys - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Remote Desktop Network Bruteforce - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Remote Desktop Network Bruteforce Attempt,https://research.splunk.com/network/908bf0d5-0983-4afd-b6a4-e9eb5d361a7d
ESCU - Remote Registry Key modifications - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Remote System Discovery with Net - Rule,Detection,5.2.0,This analytic was focusing on 2 separate and unrelated type of threats or actions. PLease use the replacement content,Windows Sensitive Group Discovery With Net,https://research.splunk.com/endpoint/d9eb7cda-5622-4722-bc88-7f2442f4b5af
ESCU - Scheduled tasks used in BadRabbit ransomware - Rule,Detection,5.2.0,Updated to a new detection name,Scheduled Task Deleted Or Created via CMD,https://research.splunk.com/endpoint/d5af132c-7c17-439c-9d31-13d55340f36c
ESCU - Spectre and Meltdown Vulnerable Systems - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Splunk Absolute Path Traversal Using runshellscript - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Account Discovery Drilldown Dashboard Disclosure - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Command and Scripting Interpreter Risky Commands - Rule,Detection,5.12.0,Detection is deprecated as these commands are regular splunk commands and not recommended to be run as a detection search.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Command and Scripting Interpreter Risky SPL MLTK - Rule,Detection,5.12.0,Detection is deprecated as these commands are regular splunk commands and not recommended to be run as a detection search.,No Replacement Content Available,No Content Link Available
ESCU - Splunk CSRF in the SSG kvstore Client Endpoint - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Data exfiltration from Analytics Workspace using sid query - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Digital Certificates Infrastructure Version - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Digital Certificates Lack of Encryption - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Disable KVStore via CSRF Enabling Maintenance Mode - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk DoS Using Malformed SAML Request - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk DOS Via Dump SPL Command - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk DoS via Malformed S2S Request - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk DoS via POST Request Datamodel Endpoint - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk DOS via printf search function - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Edit User Privilege Escalation - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Endpoint Denial of Service DoS Zip Bomb - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Enterprise Information Disclosure - Rule,Detection,5.2.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Enterprise Windows Deserialization File Partition - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk ES DoS Investigations Manager via Investigation Creation - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk ES DoS Through Investigation Attachments - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk HTTP Response Splitting Via Rest SPL Command - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Identified SSL TLS Certificates - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Image File Disclosure via PDF Export in Classic Dashboard - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Information Disclosure in Splunk Add-on Builder - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk list all nonstandard admin accounts - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Low-Priv Search as nobody SplunkDeploymentServerConfig App - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Low Privilege User Can View Hashed Splunk Password - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Persistent XSS via Props Conf - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Persistent XSS via Scheduled Views - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Persistent XSS Via URL Validation Bypass W Dashboard - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Process Injection Forwarder Bundle Downloads - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Protocol Impersonation Weak Encryption Configuration - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk protocol impersonation weak encryption selfsigned - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk protocol impersonation weak encryption simplerequest - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk RBAC Bypass On Indexing Preview REST Endpoint - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk RCE via External Lookup Copybuckets - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk RCE via Serialized Session Payload - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk RCE via Splunk Secure Gateway  Splunk Mobile alerts feature - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Reflected XSS in the templates lists radio - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Reflected XSS on App Search Table Endpoint - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk risky Command Abuse disclosed february 2023 - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk SG Information Disclosure for Low Privs User - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Stored XSS conf-web Settings on Premises - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Stored XSS via Data Model objectName Field - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Stored XSS via Specially Crafted Bulletin Message - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Unauthenticated DoS via Null Pointer References - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Unauthenticated Log Injection Web Service Log - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Unauthenticated Path Traversal Modules Messaging - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Unauthorized Experimental Items Creation - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk Unauthorized Notification Input by User - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk unnecessary file extensions allowed by lookup table uploads - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk XSS in Highlighted JSON Events - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk XSS in Monitoring Console - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk XSS in Save table dialog header in search page - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk XSS Via External Urls in Dashboards SSRF - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Splunk XSS via View - Rule,Detection,5.6.0,Detection is deprecated as the associated CVEs have been patched in the latest Splunk release.,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Changes to File Associations - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Driver Loaded Path - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Suspicious Driver Loaded Path,https://research.splunk.com/endpoint/2ca1c4a1-8342-4750-9363-905650e0c933
ESCU - Suspicious Email - UBA Anomaly - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Event Log Service Behavior - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Event Logging Service Has Shutdown,https://research.splunk.com/endpoint/d696f622-6b08-4336-b456-696cb5b43ba0
ESCU - Suspicious File Write - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious Powershell Command-Line Arguments - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Malicious PowerShell Process - Encoded Command,https://research.splunk.com/endpoint/c4db14d9-7909-48b4-a054-aa14d89dbb19
ESCU - Suspicious Process File Path - Rule,Detection,5.4.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Suspicious Process File Path,https://research.splunk.com/endpoint/ecddae4e-3d4b-41e2-b3df-e46a88b38521
ESCU - Suspicious Rundll32 Rename - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Suspicious writes to System Volume Information - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Uncommon Processes On Endpoint - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Attacker Tools On Endpoint,https://research.splunk.com/endpoint/a51bfe1a-94f0-48cc-b4e4-16a110145893
ESCU - Unsigned Image Loaded by LSASS - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Unsuccessful Netbackup backups - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Web Fraud - Account Harvesting - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Web Fraud - Anomalous User Clickspeed - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Web Fraud - Password Sharing Across Accounts - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows AD Suspicious GPO Modification - Rule,Detection,5.10.0,Detection deprecated due to lack of data and consistency. Research is being done to create potential replacement in a future release.,No Replacement Content Available,No Content Link Available
ESCU - Windows CertUtil Download With URL Argument - Rule,Detection,5.8.0,"Detection deprecated in favor of ""Windows File Download Via CertUtil"", in order to provide a better experience of the alert",Windows File Download Via CertUtil,https://research.splunk.com/endpoint/7fac8d40-e370-45ea-a4a3-031bbcc18b02
ESCU - Windows Command Shell Fetch Env Variables - Rule,Detection,5.2.0,Renamed and updated logic,Windows List ENV Variables Via SET Command From Uncommon Parent,https://research.splunk.com/endpoint/aec157f4-8783-4584-aca6-754c4dc7fba9
ESCU - Windows connhost exe started forcefully - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows DLL Search Order Hijacking Hunt - Rule,Detection,5.2.0,Detections updated to use the new search logic and field names due to the TA update,Windows DLL Search Order Hijacking Hunt with Sysmon,https://research.splunk.com/endpoint/79c7d1fc-64c7-91be-a616-ccda752efe81
ESCU - Windows hosts file modification - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows InstallUtil Uninstall Option with Network - Rule,Detection,5.12.0,"Detection has been deprecated as its scope is already covered by ""Windows InstallUtil Remote Network Connection"".",Windows InstallUtil Remote Network Connection,https://research.splunk.com/endpoint/4fbf9270-43da-11ec-9486-acde48001122
ESCU - Windows Lateral Tool Transfer RemCom - Rule,Detection,5.2.0,Updated to a new detection name,Windows Service Execution RemCom,https://research.splunk.com/endpoint/7e3d68db-ea4d-419b-adbd-e14a525ecf09
ESCU - Windows Modify Registry Reg Restore - Rule,Detection,5.2.0,Renamed and updated logic,Windows Registry Entries Restored Via Reg,https://research.splunk.com/endpoint/a17af481-e2ad-494c-9da6-afb4d243a019
ESCU - Windows MSIExec With Network Connections - Rule,Detection,5.2.0,Renamed and updated logic,Windows HTTP Network Communication From MSIExec,https://research.splunk.com/endpoint/b0fd38c7-f71a-43a2-870e-f3ca06bcdd99
ESCU - Windows Network Share Interaction With Net - Rule,Detection,5.2.0,Renamed and updated logic,Windows Network Share Interaction Via Net,https://research.splunk.com/endpoint/e51fbdb0-0be0-474f-92ea-d289f71a695e
ESCU - Windows Office Product Spawning MSDT - Rule,Detection,5.2.0,Renamed and updated logic,Windows Office Product Spawned MSDT,https://research.splunk.com/endpoint/a3148fad-3734-4b7f-9a71-62f08d39fab1
ESCU - Windows Query Registry Reg Save - Rule,Detection,5.2.0,Renamed and updated logic,Windows Registry Entries Exported Via Reg,https://research.splunk.com/endpoint/466379bc-0f47-476c-8202-16ef38112e0d
ESCU - Windows Remote Access Software Hunt - Rule,Detection,5.8.0,Detection has been replaced by a new detection with a more specific name and logic,Detect Remote Access Software Usage Process,https://research.splunk.com/endpoint/ffd5e001-2e34-48f4-97a2-26dc4bb08178
ESCU - Windows Service Created Within Public Path - Rule,Detection,5.6.0,Detection has been replaced by a new detection with a more specific name,Windows Service Created with Suspicious Service Path,https://research.splunk.com/endpoint/429141be-8311-11eb-adb6-acde48001122
ESCU - Windows Service Stop Via Net  and SC Application - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,No Replacement Content Available,No Content Link Available
ESCU - Windows Valid Account With Never Expires Password - Rule,Detection,5.2.0,Renamed and updated logic,Windows Set Account Password Policy To Unlimited Via Net,https://research.splunk.com/endpoint/11f93009-8083-43fd-82a7-821fcbdc8342
ESCU - Winword Spawning Cmd - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Winword Spawning PowerShell - Rule,Detection,5.2.0,Detection deprecated as it no longer effectively identifies the intended malicious activity,Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - Winword Spawning Windows Script Host - Rule,Detection,5.2.0,"The following analytics was deprecated in favour of a more generic approach. Where instead of creating specific analytic for every potentially suspicious child of an office product. We group them by threat level.
This would ease management and false positives tuning.",Windows Office Product Spawned Uncommon Process,https://research.splunk.com/endpoint/55d8741c-fa32-4692-8109-410304961eb8
ESCU - All backup logs for host - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Amazon EKS Kubernetes activity by src ip - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - AWS Investigate Security Hub alerts by dest - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - AWS Investigate User Activities By AccessKeyId - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - AWS Investigate User Activities By ARN - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - AWS Network ACL Details from ID - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - AWS Network Interface details via resourceId - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - AWS S3 Bucket details via bucketName - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - GCP Kubernetes activity by src ip - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Get All AWS Activity From City - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Get All AWS Activity From Country - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Get All AWS Activity From IP Address - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Get All AWS Activity From Region - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Get Backup Logs For Endpoint - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
ESCU - Get Certificate logs for a domain - Response Task,Investigation,5.2.0,"As of Splunk Enterprise Security version 8.0, Splunk Enterprise Security no longer supports Investigations. As such, all Investigations have been deprecated in ES Content Update.",No Replacement Content Available,No Content Link Available
